Date,Description,Dr,Cr
2025-01-02,Google Workspace for opensource.hk,112.8,
,Cash by Sammy,,112.8
2025-02-02,Google Workspace for opensource.hk,112.8,
,Cash by Sammy,,112.8
2025-03-02,Google Workspace for opensource.hk,112.8,
,Cash by Sammy,,112.8
2025-03-21,Meetup subscription 1-year (122.49 USD),954.19,
,Cash by Sammy,,954.19
2025-04-02,Google Workspace for opensource.hk,112.8,
,Cash by Sammy,,112.8
2025-05-02,Google Workspace for opensource.hk,112.8,
,Cash by Sammy,,112.8
2025-06-02,Google Workspace for opensource.hk,112.8,
,Cash by Sammy,,112.8
2025-07-02,Google Workspace for opensource.hk,112.8,
,Cash by Sammy,,112.8
2025-08-02,Google Workspace for opensource.hk,126.73,
,Cash by Sammy,,126.73
2025-08-02,AWS cost (12 USD) for discourse.opensource.hk,93.48,
,Cash by Sammy,,93.48
2025-09-02,Google Workspace for opensource.hk,131.6,
,Cash by Sammy,,131.6
2025-09-02,AWS cost (12 USD) for discourse.opensource.hk,93.48,
,Cash by Sammy,,93.48
2025-10-02,Google Workspace for opensource.hk,131.6,
,Cash by Sammy,,131.6
2025-10-02,AWS cost (12 USD) for discourse.opensource.hk,93.48,
,Cash by Sammy,,93.48
2025-11-01,Zoom Pro Annual (159.9 USD),1252.21,
,Cash by Sammy,,1252.21
2025-11-02,Google Workspace for opensource.hk,131.6,
,Cash by Sammy,,131.6
2025-11-02,AWS cost (12 USD) for discourse.opensource.hk,93.48,
,Cash by Sammy,,93.48
2025-12-02,Google Workspace for opensource.hk,131.6,
,Cash by Sammy,,131.6
2025-12-02,AWS cost (12 USD) for discourse.opensource.hk,93.48,
,Cash by Sammy,,93.48
