Date,Description,Dr,Cr
2024-01-02,Google Workspace for opensource.hk,94,
,Cash by Sammy,,94
2024-02-02,Google Workspace for opensource.hk,94,
,Cash by Sammy,,94
2024-03-02,Google Workspace for opensource.hk,94,
,Cash by Sammy,,94
2024-03-04,Meetup subscription 6-month (29.94 USD),233.23,
,Cash by Sammy,,233.23
2024-04-02,Google Workspace for opensource.hk,101.72,
,Cash by Sammy,,101.72
2024-05-02,Google Workspace for opensource.hk,112.8,
,Cash by Sammy,,112.8
2024-06-02,Google Workspace for opensource.hk,112.8,
,Cash by Sammy,,112.8
2024-07-02,Google Workspace for opensource.hk,112.8,
,Cash by Sammy,,112.8
2024-08-02,Google Workspace for opensource.hk,112.8,
,Cash by Sammy,,112.8
2024-09-02,Google Workspace for opensource.hk,112.8,
,Cash by Sammy,,112.8
2024-09-04,Meetup subscription 6-month (99 USD),771.21,
,Cash by Sammy,,771.21
2024-10-02,Google Workspace for opensource.hk,112.8,
,Cash by Sammy,,112.8
2024-11-01,Zoom Pro Annual (149.9 USD),1167.71,
,Cash by Sammy,,1167.71
2024-11-02,Google Workspace for opensource.hk,112.8,
,Cash by Sammy,,112.8
2024-12-02,Google Workspace for opensource.hk,112.8,
,Cash by Sammy,,112.8
